0 0
0.01 0.00309511
0.02 0.0188244
0.03 0.0481645
0.04 0.0863037
0.05 0.12705
0.06 0.16498
0.07 0.196273
0.08 0.21881
0.09 0.231938
0.1 0.236088
0.11 0.232399
0.12 0.222383
0.13 0.207671
0.14 0.189832
0.15 0.170259
0.16 0.150116
0.17 0.130311
0.18 0.111511
0.19 0.0941634
0.2 0.0785318
0.21 0.0647315
0.22 0.0527653
0.23 0.0425558
0.24 0.0339724
0.25 0.0268535
0.26 0.0210234
0.27 0.0163055
0.28 0.0125308
0.29 0.00954323
0.3 0.00720339
0.31 0.00538935
0.32 0.00399684
0.33 0.00293824
0.34 0.00214116
0.35 0.00154665
0.36 0.00110737
0.37 0.000785825
0.38 0.000552653
0.39 0.000385146
0.4 0.000265944
0.41 0.000181921
0.42 0.000123262
0.43 8.27089e-05
0.44 5.49491e-05
0.45 3.61373e-05
0.46 2.35197e-05
0.47 1.5145e-05
0.48 9.64584e-06
0.49 6.07448e-06
0.5 3.78117e-06
0.51 2.32558e-06
0.52 1.4127e-06
0.53 8.47219e-07
0.54 5.01382e-07
0.55 2.92652e-07
0.56 1.68388e-07
0.57 9.5455e-08
0.58 5.32771e-08
0.59 2.92581e-08
0.6 1.57979e-08
0.61 8.38031e-09
0.62 4.36373e-09
0.63 2.22841e-09
0.64 1.11489e-09
0.65 5.45888e-10
0.66 2.61269e-10
0.67 1.22075e-10
0.68 5.56035e-11
0.69 2.46513e-11
0.7 1.06193e-11
0.71 4.43657e-12
0.72 1.79387e-12
0.73 7.00352e-13
0.74 2.63331e-13
0.75 9.50802e-14
0.76 3.28602e-14
0.77 1.08305e-14
0.78 3.39018e-15
0.79 1.00306e-15
0.8 2.79001e-16
0.81 7.24984e-17
0.82 1.74713e-17
0.83 3.87152e-18
0.84 7.80914e-19
0.85 1.4166e-19
0.86 2.2776e-20
0.87 3.18826e-21
0.88 3.80074e-22
0.89 3.75231e-23
0.9 2.95974e-24
0.91 1.77909e-25
0.92 7.64397e-27
0.93 2.14596e-28
0.94 3.45138e-30
0.95 2.5935e-32
0.96 6.47082e-35
0.97 2.82563e-38
0.98 5.12878e-43
0.99 3.93941e-51
1 -0
